# MEAN_SAMPLE_SIZE = 99339
# TOTAL_GENES = 18121
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GO_bp:go_telomere_capping                SET      50    -0.018024  -0.00094547     0.080494      0.58859 GO_bp:go_telomere_capping
GO_bp:go_prostate_gland_morp...          SET      26      0.45751     0.017318      0.13491   0.00034865 GO_bp:go_prostate_gland_morphogenesis
GO_bp:go_negative_regulation...43        SET      38      -0.1152   -0.0052699      0.10235      0.86982 GO_bp:go_negative_regulation_of_axon_extension
GO_bp:go_positive_regulation...855       SET      69     0.040444     0.002491     0.071585      0.28605 GO_bp:go_positive_regulation_of_type_i_interferon_production
GO_bp:go_regulation_of_stres...          SET     219     -0.05928   -0.0064776     0.041186      0.92496 GO_bp:go_regulation_of_stress_activated_protein_kinase_signaling_cascade
GO_bp:go_myeloid_cell_develo...          SET      62     0.084976    0.0049622     0.079686      0.14313 GO_bp:go_myeloid_cell_development
GO_bp:go_negative_regulation...357       SET     222     0.034692    0.0038164     0.040871        0.198 GO_bp:go_negative_regulation_of_kinase_activity
GO_bp:go_regulation_of_mitoc...4         SET      57      0.15138    0.0084772     0.078544     0.026975 GO_bp:go_regulation_of_mitochondrial_membrane_permeability_involved_in_apoptotic_process
GO_bp:go_intracellular_prote...2         SET    1079     0.067282     0.015922     0.018952   0.00019306 GO_bp:go_intracellular_protein_transport
GO_bp:go_regulation_of_histo...2         SET      24      0.23787    0.0086511      0.11264     0.017359 GO_bp:go_regulation_of_histone_deacetylation
GO_bp:go_regulation_of_phosp...1         SET     159     0.015248     0.001422     0.047064      0.37298 GO_bp:go_regulation_of_phosphatase_activity
GO_bp:go_neurotransmitter_up...          SET      39    -0.018859    -0.000874     0.096512      0.57746 GO_bp:go_neurotransmitter_uptake
GO_bp:go_microtubule_anchori...1         SET      24     -0.14293   -0.0051984      0.12141      0.88046 GO_bp:go_microtubule_anchoring
GO_bp:go_cell_division                   SET     556     0.049943    0.0086133     0.025419     0.024726 GO_bp:go_cell_division
GO_bp:go_regulation_of_mrna_...3         SET     189    -0.011541   -0.0011725     0.044135      0.60314 GO_bp:go_regulation_of_mrna_catabolic_process
GO_bp:go_intermediate_filame...3         SET      19      -0.1114   -0.0036054      0.15298      0.76676 GO_bp:go_intermediate_filament_organization
GO_bp:go_negative_regulation...108       SET      17     0.040341    0.0012351      0.12709      0.37547 GO_bp:go_negative_regulation_of_cell_division
GO_bp:go_cellular_response_t...116       SET      76      0.11808    0.0076312     0.072532     0.051774 GO_bp:go_cellular_response_to_uv
GO_bp:go_regulation_of_nucle...2         SET     196     0.044275    0.0045798     0.042206      0.14709 GO_bp:go_regulation_of_nuclear_division
GO_bp:go_response_to_acid_ch...          SET     313    -0.023419   -0.0030513     0.035524      0.74513 GO_bp:go_response_to_acid_chemical
GO_bp:go_response_to_prostag...3         SET      20      0.13733    0.0045601      0.15061      0.18094 GO_bp:go_response_to_prostaglandin_e
GO_bp:go_positive_regulation...262       SET      47     0.094632    0.0048133     0.092163      0.15227 GO_bp:go_positive_regulation_of_epithelial_to_mesenchymal_transition
GO_bp:go_response_to_steroid...          SET     359     0.056284    0.0078435     0.032815     0.043166 GO_bp:go_response_to_steroid_hormone
GO_bp:go_positive_regulation...726       SET      31     -0.18842   -0.0077866       0.1071      0.96073 GO_bp:go_positive_regulation_of_rna_splicing
GO_bp:go_response_to_immobil...          SET      25      -0.0189  -0.00070154      0.12335      0.56089 GO_bp:go_response_to_immobilization_stress
GO_bp:go_response_to_interle...9         SET      35      0.15179    0.0066645     0.099564     0.063702 GO_bp:go_response_to_interleukin_4
GO_bp:go_positive_regulation...428       SET      15     -0.14877   -0.0042787      0.17724      0.79936 GO_bp:go_positive_regulation_of_keratinocyte_differentiation
GO_bp:go_cardiac_chamber_mor...          SET     122     0.070135    0.0057355      0.05911      0.11772 GO_bp:go_cardiac_chamber_morphogenesis
GO_bp:go_regulation_of_carti...          SET      62    -0.070328   -0.0041068     0.080154      0.80986 GO_bp:go_regulation_of_cartilage_development
GO_bp:go_positive_regulation...409       SET      41      0.10327    0.0049066     0.096948      0.14341 GO_bp:go_positive_regulation_of_interleukin_8_production
GO_bp:go_regulation_of_defen...3         SET      65     -0.17986    -0.010753     0.073787       0.9926 GO_bp:go_regulation_of_defense_response_to_virus
GO_bp:go_response_to_peptide             SET     461    0.0093036     0.001465      0.02841      0.37166 GO_bp:go_response_to_peptide
GO_bp:go_dna_dependent_dna_r...1         SET     140    -0.032952   -0.0028853     0.049772      0.74603 GO_bp:go_dna_dependent_dna_replication
GO_bp:go_regulation_of_skele...3         SET      19      0.10337    0.0033454      0.15127      0.24721 GO_bp:go_regulation_of_skeletal_muscle_cell_differentiation
GO_bp:go_positive_regulation...146       SET     129    0.0014344    0.0001206     0.053716      0.48935 GO_bp:go_positive_regulation_of_cellular_protein_catabolic_process
GO_bp:go_sterol_homeostasis              SET      72     0.064814    0.0040775     0.070103      0.17761 GO_bp:go_sterol_homeostasis
GO_bp:go_embryonic_axis_spec...          SET      32    -0.065699   -0.0027585      0.11645      0.71368 GO_bp:go_embryonic_axis_specification
GO_bp:go_regulation_of_leuko...2         SET      78    -0.020824   -0.0013633     0.068714      0.61908 GO_bp:go_regulation_of_leukocyte_apoptotic_process
GO_bp:go_cellular_response_t...69        SET     559     0.028331    0.0048987     0.027033      0.14733 GO_bp:go_cellular_response_to_lipid
GO_bp:go_lipoprotein_metabol...          SET      26     -0.12059   -0.0045646      0.11584      0.85105 GO_bp:go_lipoprotein_metabolic_process
GO_bp:go_disruption_of_cells...          SET      15     0.023351   0.00067158      0.16314      0.44309 GO_bp:go_disruption_of_cells_of_other_organism_involved_in_symbiotic_interaction
GO_bp:go_iron_coordination_e...          SET      12      0.16853    0.0043356      0.17117      0.16242 GO_bp:go_iron_coordination_entity_transport
GO_bp:go_phosphatidylcholine...2         SET      34     -0.22167   -0.0095932      0.10231      0.98487 GO_bp:go_phosphatidylcholine_biosynthetic_process
GO_bp:go_regulation_of_coagu...          SET      79   -0.0040093  -0.00026415     0.072567      0.52203 GO_bp:go_regulation_of_coagulation
GO_bp:go_membrane_biogenesis             SET      31      0.26921     0.011126      0.10276     0.004402 GO_bp:go_membrane_biogenesis
GO_bp:go_regulation_of_epide...3         SET      79    0.0036868   0.00024291      0.07141      0.47941 GO_bp:go_regulation_of_epidermis_development
GO_bp:go_formation_of_primar...          SET     110      0.11359     0.008823     0.061552     0.032501 GO_bp:go_formation_of_primary_germ_layer
GO_bp:go_negative_regulation...443       SET      47     0.087193     0.004435     0.093385      0.17524 GO_bp:go_negative_regulation_of_muscle_cell_differentiation
GO_bp:go_energy_reserve_meta...          SET      75      0.10945     0.007027     0.071036     0.061694 GO_bp:go_energy_reserve_metabolic_process
GO_bp:go_glycolipid_biosynth...          SET      61     0.047766    0.0027668     0.078713      0.27198 GO_bp:go_glycolipid_biosynthetic_process
GO_bp:go_regulation_of_actin...6         SET      27    -0.011429  -0.00044085      0.11185       0.5407 GO_bp:go_regulation_of_actin_nucleation
GO_bp:go_regulation_of_dendr...5         SET      11      0.14345    0.0035334      0.16731      0.19562 GO_bp:go_regulation_of_dendritic_cell_differentiation
GO_bp:go_epithelial_cell_dev...          SET     185     0.019845     0.001995     0.045859       0.3326 GO_bp:go_epithelial_cell_development
GO_bp:go_negative_regulation...374       SET      65    -0.015626   -0.0009342     0.076249      0.58119 GO_bp:go_negative_regulation_of_lipid_metabolic_process
GO_bp:go_protein_localizatio...23        SET      17       0.2267    0.0069405      0.16145     0.080147 GO_bp:go_protein_localization_to_kinetochore
GO_bp:go_negative_regulation...242       SET      44   -0.0079759  -0.00039255     0.088099      0.53607 GO_bp:go_negative_regulation_of_fat_cell_differentiation
GO_bp:go_photoperiodism                  SET      23      0.10669    0.0037986      0.12224      0.19141 GO_bp:go_photoperiodism
GO_bp:go_alpha_amino_acid_bi...          SET      57      -0.1009   -0.0056505     0.080364      0.89536 GO_bp:go_alpha_amino_acid_biosynthetic_process
GO_bp:go_mesenchymal_to_epit...1         SET      18     0.040483    0.0012753      0.15581       0.3975 GO_bp:go_mesenchymal_to_epithelial_transition
GO_bp:go_establishment_of_en...2         SET       9    -0.017315   -0.0003858      0.20293        0.534 GO_bp:go_establishment_of_endothelial_intestinal_barrier
GO_bp:go_salivary_gland_deve...          SET      36      0.16308    0.0072619      0.10071     0.052687 GO_bp:go_salivary_gland_development
GO_bp:go_cell_cycle_dna_repl...          SET      60     -0.02968   -0.0017051     0.075795      0.65232 GO_bp:go_cell_cycle_dna_replication
GO_bp:go_negative_regulation...679       SET      10     0.099766    0.0023431      0.19881       0.3079 GO_bp:go_negative_regulation_of_transcription_elongation_from_rna_polymerase_ii_promoter
GO_bp:go_chromosome_condensa...          SET      38      0.12448    0.0056945     0.086127     0.074195 GO_bp:go_chromosome_condensation
GO_bp:go_regulation_of_monoo...          SET      52   0.00023539   1.2592e-05     0.085397       0.4989 GO_bp:go_regulation_of_monooxygenase_activity
GO_bp:go_sensory_perception_...4         SET     156    -0.088274   -0.0081552     0.050449      0.95991 GO_bp:go_sensory_perception_of_mechanical_stimulus
GO_bp:go_establishment_of_ep...2         SET      26    -0.037602   -0.0014233       0.1159       0.6272 GO_bp:go_establishment_of_epithelial_cell_polarity
GO_bp:go_toll_like_receptor_...5         SET      20      0.20976    0.0069649      0.14967     0.080553 GO_bp:go_toll_like_receptor_9_signaling_pathway
GO_bp:go_embryonic_digit_mor...          SET      59     0.018543    0.0010564      0.08006      0.40842 GO_bp:go_embryonic_digit_morphogenesis
GO_bp:go_t_cell_activation_i...          SET      85     0.033574    0.0022941     0.063762      0.29926 GO_bp:go_t_cell_activation_involved_in_immune_response
GO_bp:go_negative_regulation...368       SET      74     0.041305    0.0026342     0.070774      0.27974 GO_bp:go_negative_regulation_of_leukocyte_proliferation
GO_bp:go_negative_regulation...264       SET      36      0.34137     0.015201      0.10507   0.00058004 GO_bp:go_negative_regulation_of_gliogenesis
GO_bp:go_regulation_of_antig...2         SET       4      0.16018    0.0023797      0.25062      0.26137 GO_bp:go_regulation_of_antigen_processing_and_presentation_of_peptide_antigen
GO_bp:go_regulation_of_neuro...12        SET      49     0.070808    0.0036772     0.089401      0.21418 GO_bp:go_regulation_of_neuronal_synaptic_plasticity
GO_bp:go_regulation_of_phosp...10        SET      44     0.041819    0.0020582     0.088649      0.31856 GO_bp:go_regulation_of_phospholipase_c_activity
GO_bp:go_regulation_of_devel...2         SET     294    -0.052854   -0.0066776     0.036239      0.92764 GO_bp:go_regulation_of_developmental_growth
GO_bp:go_membrane_disassembly            SET      16    -0.067547   -0.0020063      0.13349      0.69358 GO_bp:go_membrane_disassembly
GO_bp:go_regulation_of_synap...10        SET      64     -0.14434   -0.0085631     0.080576      0.96337 GO_bp:go_regulation_of_synaptic_transmission_glutamatergic
GO_bp:go_activation_of_phosp...1         SET      30     0.057183    0.0023248      0.10889      0.29975 GO_bp:go_activation_of_phospholipase_c_activity
GO_bp:go_negative_regulation...55        SET      22      0.15504    0.0053989      0.13312      0.12209 GO_bp:go_negative_regulation_of_biomineral_tissue_development
GO_bp:go_cellular_response_t...36        SET     312     0.036171    0.0047054     0.033825      0.14246 GO_bp:go_cellular_response_to_external_stimulus
GO_bp:go_nadp_metabolic_proc...          SET      11       -0.196   -0.0048277      0.18046      0.86128 GO_bp:go_nadp_metabolic_process
GO_bp:go_positive_regulation...527       SET      27    -0.026269   -0.0010133      0.10719       0.5968 GO_bp:go_positive_regulation_of_mrna_processing
GO_bp:go_epithelial_tube_bra...          SET      29      0.15712    0.0062806       0.1147     0.085386 GO_bp:go_epithelial_tube_branching_involved_in_lung_morphogenesis
GO_bp:go_detection_of_mechan...2         SET      27     -0.17811   -0.0068701      0.11497      0.93932 GO_bp:go_detection_of_mechanical_stimulus_involved_in_sensory_perception
GO_bp:go_regulation_of_cell_...7         SET      15    -0.066117   -0.0019015      0.14592      0.67475 GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin
GO_bp:go_metanephric_epithel...          SET      26     0.031511    0.0011928      0.12718      0.40216 GO_bp:go_metanephric_epithelium_development
GO_bp:go_regulation_of_smoot...2         SET      30      0.11416    0.0046412      0.11113      0.15216 GO_bp:go_regulation_of_smooth_muscle_cell_differentiation
GO_bp:go_fatty_acid_beta_oxi...1         SET      71     0.083306    0.0052044     0.069058      0.11386 GO_bp:go_fatty_acid_beta_oxidation
GO_bp:go_actin_filament_base...2         SET     681    0.0051817   0.00098549     0.023964       0.4144 GO_bp:go_actin_filament_based_process
GO_bp:go_response_to_fluid_s...          SET      32     -0.28793    -0.012089      0.11198      0.99493 GO_bp:go_response_to_fluid_shear_stress
GO_bp:go_negative_regulation...444       SET      24    -0.045274   -0.0016466      0.13753      0.62899 GO_bp:go_negative_regulation_of_muscle_contraction
GO_bp:go_transition_metal_io...2         SET     109      0.01387    0.0010725     0.056996      0.40387 GO_bp:go_transition_metal_ion_transport
GO_bp:go_positive_regulation...535       SET      80    -0.067408    -0.004469     0.064559      0.85178 GO_bp:go_positive_regulation_of_muscle_cell_differentiation
GO_bp:go_regulation_of_adapt...          SET     146      0.05473    0.0048929     0.049762      0.13571 GO_bp:go_regulation_of_adaptive_immune_response
GO_bp:go_phosphatidylinosito...4         SET     108   -0.0075476  -0.00058096      0.05598      0.55362 GO_bp:go_phosphatidylinositol_biosynthetic_process
GO_bp:go_positive_regulation...449       SET      35     0.049766    0.0021851      0.10687      0.32073 GO_bp:go_positive_regulation_of_lipid_kinase_activity
GO_bp:go_response_to_cortico...1         SET     151    -0.049121   -0.0044654     0.051385      0.83044 GO_bp:go_response_to_corticosteroid
GO_bp:go_positive_regulation...440       SET      21       0.3473     0.011816      0.11836    0.0016739 GO_bp:go_positive_regulation_of_leukocyte_degranulation
GO_bp:go_sodium_ion_transmem...          SET     131      0.09279     0.007861     0.052529     0.038669 GO_bp:go_sodium_ion_transmembrane_transport
GO_bp:go_negative_regulation...60        SET      30     -0.07597   -0.0030886      0.11779      0.74053 GO_bp:go_negative_regulation_of_blood_vessel_endothelial_cell_migration
GO_bp:go_cell_projection_ass...          SET     520     0.035134    0.0058659     0.026571     0.093049 GO_bp:go_cell_projection_assembly
GO_bp:go_glucocorticoid_meta...          SET      22     0.036633    0.0012757      0.13421      0.39245 GO_bp:go_glucocorticoid_metabolic_process
GO_bp:go_protein_maturation              SET     254    -0.062822   -0.0073856      0.03891      0.94679 GO_bp:go_protein_maturation
GO_bp:go_skeletal_muscle_ada...          SET      25    -0.062551   -0.0023218      0.12184      0.69615 GO_bp:go_skeletal_muscle_adaptation
GO_bp:go_protein_n_linked_gl...          SET      73     0.053583    0.0033941     0.069513      0.22041 GO_bp:go_protein_n_linked_glycosylation
GO_bp:go_anaphase_promoting_...          SET      78    -0.097603   -0.0063899     0.070695      0.91629 GO_bp:go_anaphase_promoting_complex_dependent_catabolic_process
GO_bp:go_hindlimb_morphogene...          SET      35     -0.06673   -0.0029299      0.10835        0.731 GO_bp:go_hindlimb_morphogenesis
GO_bp:go_loop_of_henle_devel...          SET      10      0.20713    0.0048645      0.20517      0.15636 GO_bp:go_loop_of_henle_development
GO_bp:go_vesicle_organization            SET     306   -0.0063246  -0.00081492     0.034205      0.57335 GO_bp:go_vesicle_organization
GO_bp:go_keratinocyte_prolif...          SET      37    0.0048516   0.00021901      0.10713      0.48194 GO_bp:go_keratinocyte_proliferation
GO_bp:go_macrophage_activati...2         SET      12    -0.050771   -0.0013061      0.19192      0.60432 GO_bp:go_macrophage_activation_involved_in_immune_response
GO_bp:go_positive_regulation...63        SET     174     0.074384     0.007254      0.04575     0.051996 GO_bp:go_positive_regulation_of_binding
GO_bp:go_smooth_muscle_cell_...3         SET      54     0.050908     0.002775      0.08502      0.27466 GO_bp:go_smooth_muscle_cell_differentiation
GO_bp:go_male_genitalia_deve...          SET      19    -0.063762   -0.0020636      0.15838      0.65638 GO_bp:go_male_genitalia_development
GO_bp:go_regulation_of_hydro...3         SET    1172     0.039021    0.0095976     0.018672     0.018323 GO_bp:go_regulation_of_hydrolase_activity
GO_bp:go_endocardial_cushion...1         SET      42      0.13267    0.0063799      0.10251      0.09781 GO_bp:go_endocardial_cushion_development
GO_bp:go_negative_regulation...230       SET      49     -0.24991    -0.012978     0.086395      0.99809 GO_bp:go_negative_regulation_of_erbb_signaling_pathway
GO_bp:go_response_to_dietary...          SET      22     0.094298    0.0032838      0.13834      0.24774 GO_bp:go_response_to_dietary_excess
GO_bp:go_regulation_of_meiot...2         SET      30     0.017751   0.00072169        0.111      0.43647 GO_bp:go_regulation_of_meiotic_nuclear_division
GO_bp:go_branch_elongation_o...          SET      18      0.15879    0.0050022      0.14607       0.1385 GO_bp:go_branch_elongation_of_an_epithelium
GO_bp:go_positive_regulation...140       SET     129    -0.033796   -0.0028414     0.051021      0.74614 GO_bp:go_positive_regulation_of_cellular_amide_metabolic_process
GO_bp:go_positive_regulation...863       SET      13    -0.067884   -0.0018176      0.15889      0.66539 GO_bp:go_positive_regulation_of_vacuole_organization
GO_bp:go_negative_regulation...523       SET      18     -0.12208   -0.0038459      0.15036      0.79159 GO_bp:go_negative_regulation_of_platelet_activation
GO_bp:go_glutamine_family_am...2         SET      26    -0.051541    -0.001951      0.11235      0.67678 GO_bp:go_glutamine_family_amino_acid_catabolic_process
GO_bp:go_embryonic_skeletal_...3         SET     116     0.070637    0.0056336     0.061224      0.12431 GO_bp:go_embryonic_skeletal_system_development
GO_bp:go_neuron_maturation               SET      45       0.0393    0.0019561     0.092767      0.33592 GO_bp:go_neuron_maturation
GO_bp:go_thymic_t_cell_selec...          SET      21     -0.10475   -0.0035639      0.14028      0.77238 GO_bp:go_thymic_t_cell_selection
GO_bp:go_cellular_response_t...12        SET     211      0.03238    0.0034737     0.043658      0.22915 GO_bp:go_cellular_response_to_biotic_stimulus
GO_bp:go_coenzyme_a_metaboli...          SET       5      -0.1612   -0.0026774      0.31974      0.69292 GO_bp:go_coenzyme_a_metabolic_process
GO_bp:go_protein_localizatio...13        SET      49      0.12455    0.0064683     0.082851     0.066384 GO_bp:go_protein_localization_to_cilium
GO_bp:go_rna_stabilization               SET      44     0.015668   0.00077113     0.085464      0.42727 GO_bp:go_rna_stabilization
GO_bp:go_regulation_of_cell_...32        SET     268    -0.018064   -0.0021806     0.038272      0.68153 GO_bp:go_regulation_of_cell_morphogenesis_involved_in_differentiation
GO_bp:go_regulation_of_prote...22        SET      19      0.10289      0.00333      0.14602      0.24052 GO_bp:go_regulation_of_protein_homodimerization_activity
GO_bp:go_regulation_of_heter...          SET      24     -0.11723   -0.0042635      0.12368      0.82839 GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion
GO_bp:go_positive_regulation...690       SET      47    -0.019711   -0.0010026      0.08574      0.59091 GO_bp:go_positive_regulation_of_reactive_oxygen_species_biosynthetic_process
GO_bp:go_alpha_amino_acid_me...          SET     155    -0.052695   -0.0048527     0.046644      0.87069 GO_bp:go_alpha_amino_acid_metabolic_process
GO_bp:go_mitochondrial_dna_m...          SET      11    -0.028475  -0.00070136       0.1608      0.57028 GO_bp:go_mitochondrial_dna_metabolic_process
GO_bp:go_adult_behavior                  SET     135     0.010501   0.00090303     0.053601      0.42234 GO_bp:go_adult_behavior
GO_bp:go_retinal_ganglion_ce...          SET      20      0.23205     0.007705       0.1532     0.064937 GO_bp:go_retinal_ganglion_cell_axon_guidance
GO_bp:go_spindle_localization            SET      41    -0.099729   -0.0047385     0.092256      0.86014 GO_bp:go_spindle_localization
GO_bp:go_hydrogen_peroxide_c...          SET      26     -0.19548   -0.0073994      0.12305      0.94391 GO_bp:go_hydrogen_peroxide_catabolic_process
GO_bp:go_cellular_response_t...85        SET     501     0.041762    0.0068475     0.028074      0.06844 GO_bp:go_cellular_response_to_organic_cyclic_compound
GO_bp:go_positive_regulation...194       SET      51      0.19877     0.010531     0.084269    0.0091731 GO_bp:go_positive_regulation_of_cytokine_production_involved_in_immune_response
GO_bp:go_regulation_of_prote...53        SET      19     -0.23344   -0.0075553      0.14152      0.95048 GO_bp:go_regulation_of_protein_sumoylation
GO_bp:go_response_to_endopla...          SET     260     -0.04382   -0.0052112     0.037101      0.88121 GO_bp:go_response_to_endoplasmic_reticulum_stress
GO_bp:go_cellular_response_t...68        SET     116     0.067107    0.0053521     0.057652      0.12222 GO_bp:go_cellular_response_to_light_stimulus
GO_bp:go_positive_regulation...3         SET      17      0.13892    0.0042531      0.15767      0.18914 GO_bp:go_positive_regulation_by_host_of_viral_transcription
GO_bp:go_negative_regulation...632       SET      19      0.02414   0.00078129      0.13765      0.43039 GO_bp:go_negative_regulation_of_stem_cell_differentiation
GO_bp:go_negative_regulation...531       SET      30    -0.057023   -0.0023183      0.10283      0.71039 GO_bp:go_negative_regulation_of_production_of_molecular_mediator_of_immune_response
GO_bp:go_sphingolipid_mediat...          SET      10     -0.20434   -0.0047991      0.21165      0.83284 GO_bp:go_sphingolipid_mediated_signaling_pathway
GO_bp:go_synaptic_vesicle_cy...2         SET      18     -0.09052   -0.0028516      0.15483      0.72061 GO_bp:go_synaptic_vesicle_cytoskeletal_transport
GO_bp:go_lung_cell_different...          SET      21    -0.039519   -0.0013446      0.14168      0.60985 GO_bp:go_lung_cell_differentiation
GO_bp:go_platelet_activation             SET     144    -0.060361   -0.0053595     0.053333      0.87113 GO_bp:go_platelet_activation
GO_bp:go_cytoskeleton_organi...          SET    1197      0.03447    0.0085618     0.017951     0.027425 GO_bp:go_cytoskeleton_organization
GO_bp:go_nucleotide_binding_...1         SET      32    -0.079934   -0.0033562      0.10537      0.77596 GO_bp:go_nucleotide_binding_domain_leucine_rich_repeat_containing_receptor_signaling_pathway
GO_bp:go_transcription_coupl...          SET      71    -0.059429   -0.0037128     0.069546      0.80359 GO_bp:go_transcription_coupled_nucleotide_excision_repair
GO_bp:go_membrane_depolariza...2         SET      34     0.026424    0.0011436      0.10267      0.39845 GO_bp:go_membrane_depolarization_during_action_potential
GO_bp:go_maturation_of_ssu_r...1         SET      41      0.12615    0.0059938     0.094261     0.090408 GO_bp:go_maturation_of_ssu_rrna
GO_bp:go_response_to_wounding            SET     608    -0.026781   -0.0048227     0.025614      0.85212 GO_bp:go_response_to_wounding
GO_bp:go_non_canonical_wnt_s...1         SET     141   -0.0091198  -0.00080134     0.052504      0.56895 GO_bp:go_non_canonical_wnt_signaling_pathway
GO_bp:go_renal_system_proces...1         SET      14     -0.14845   -0.0041247      0.17836      0.79738 GO_bp:go_renal_system_process_involved_in_regulation_of_blood_volume
GO_bp:go_negative_regulation...366       SET      44    0.0049574   0.00024399     0.087844       0.4775 GO_bp:go_negative_regulation_of_leukocyte_mediated_immunity
GO_bp:go_positive_regulation...186       SET      17     0.011268   0.00034497      0.15535      0.47109 GO_bp:go_positive_regulation_of_creb_transcription_factor_activity
GO_bp:go_negative_regulation...111       SET     164     -0.06429   -0.0060885      0.04875      0.90637 GO_bp:go_negative_regulation_of_cell_growth
GO_bp:go_modified_amino_acid...          SET      22     -0.02571   -0.0008953      0.12798      0.57961 GO_bp:go_modified_amino_acid_transport
GO_bp:go_cgmp_biosynthetic_p...          SET       9     -0.37262   -0.0083022      0.20769      0.96359 GO_bp:go_cgmp_biosynthetic_process
GO_bp:go_alternative_mrna_sp...          SET      66     -0.10415    -0.006274      0.07148      0.92743 GO_bp:go_alternative_mrna_splicing_via_spliceosome
GO_bp:go_associative_learning            SET      72    -0.045822   -0.0028827     0.071107      0.74034 GO_bp:go_associative_learning
GO_bp:go_snorna_metabolic_pr...          SET       3     -0.27767   -0.0035726      0.30242      0.82073 GO_bp:go_snorna_metabolic_process
GO_bp:go_negative_regulation...128       SET     216     0.070596    0.0076616     0.040254     0.039745 GO_bp:go_negative_regulation_of_cellular_catabolic_process
GO_bp:go_regulation_of_respo...7         SET      22   -0.0060449   -0.0002105       0.1279      0.51885 GO_bp:go_regulation_of_response_to_extracellular_stimulus
GO_bp:go_cofactor_transport              SET      46    0.0010724   5.3965e-05     0.090446      0.49527 GO_bp:go_cofactor_transport
GO_bp:go_positive_regulation...282       SET      58      0.13002    0.0073441     0.082359     0.057217 GO_bp:go_positive_regulation_of_fat_cell_differentiation
GO_bp:go_negative_regulation...560       SET      63      0.08106    0.0047713     0.077535      0.14791 GO_bp:go_negative_regulation_of_protein_polymerization
GO_bp:go_exogenous_drug_cata...          SET      22    -0.053847   -0.0018751      0.14113       0.6486 GO_bp:go_exogenous_drug_catabolic_process
GO_bp:go_negative_regulation...570       SET      24       0.1348    0.0049028      0.12891      0.14786 GO_bp:go_negative_regulation_of_reactive_oxygen_species_metabolic_process
GO_bp:go_regulation_of_prote...13        SET      37      0.18704    0.0084435     0.097067     0.027001 GO_bp:go_regulation_of_protein_deacetylation
GO_bp:go_otic_vesicle_develo...          SET      14      0.15407     0.004281      0.15064       0.1532 GO_bp:go_otic_vesicle_development
GO_bp:go_positive_regulation...233       SET      25      0.15813    0.0058696      0.12746      0.10737 GO_bp:go_positive_regulation_of_dna_templated_transcription_initiation
GO_bp:go_neuron_projection_e...2         SET      35    -0.090998   -0.0039955      0.10748      0.80141 GO_bp:go_neuron_projection_extension_involved_in_neuron_projection_guidance
GO_bp:go_phospholipid_dephos...          SET      33     -0.11447   -0.0048806      0.10732      0.85692 GO_bp:go_phospholipid_dephosphorylation
GO_bp:go_negative_regulation...203       SET      28     -0.10631   -0.0041756      0.10777      0.83804 GO_bp:go_negative_regulation_of_dna_repair
GO_bp:go_metal_ion_transport             SET     809    -0.023301   -0.0048123     0.022424      0.85061 GO_bp:go_metal_ion_transport
GO_bp:go_insulin_secretion               SET     195     0.013758    0.0014195     0.045564      0.38135 GO_bp:go_insulin_secretion
GO_bp:go_positive_regulation...296       SET      50     -0.17521   -0.0091911     0.087291      0.97763 GO_bp:go_positive_regulation_of_fibroblast_proliferation
GO_bp:go_preassembly_of_gpi_...          SET      15     -0.14076   -0.0040481      0.14069      0.84145 GO_bp:go_preassembly_of_gpi_anchor_in_er_membrane
GO_bp:go_necrotic_cell_death             SET      44      0.18149    0.0089327     0.095414     0.028583 GO_bp:go_necrotic_cell_death
GO_bp:go_regulation_of_mast_...2         SET      28      0.15365    0.0060351      0.10701     0.075541 GO_bp:go_regulation_of_mast_cell_activation_involved_in_immune_response
GO_bp:go_positive_regulation...141       SET       6     -0.20244   -0.0036832      0.26308      0.77919 GO_bp:go_positive_regulation_of_cellular_amine_metabolic_process
GO_bp:go_positive_regulation...413       SET     141     0.053173    0.0046722     0.051619      0.15149 GO_bp:go_positive_regulation_of_intracellular_protein_transport
GO_bp:go_regulation_by_virus...          SET       7     -0.21499   -0.0042248      0.22151      0.83412 GO_bp:go_regulation_by_virus_of_viral_protein_levels_in_host_cell
GO_bp:go_chromosome_localiza...          SET      73    -0.061797   -0.0039145      0.06686      0.82232 GO_bp:go_chromosome_localization
GO_bp:go_regulation_of_respi...4         SET      13      0.16395    0.0043897      0.17493      0.17433 GO_bp:go_regulation_of_respiratory_system_process
GO_bp:go_positive_regulation...18        SET       8   -0.0031033  -6.5191e-05      0.23431      0.50528 GO_bp:go_positive_regulation_of_adenylate_cyclase_activity
GO_bp:go_positive_regulation...564       SET     332    -0.019194   -0.0025742     0.033894       0.7144 GO_bp:go_positive_regulation_of_neuron_differentiation
GO_bp:go_embryonic_skeletal_...4         SET      87     0.062044    0.0042888     0.069232      0.18509 GO_bp:go_embryonic_skeletal_system_morphogenesis
GO_bp:go_activation_of_gtpas...          SET      83     0.075262    0.0050821     0.070381      0.14246 GO_bp:go_activation_of_gtpase_activity
